month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,product,channel,period
1,CM.Marketing,0.03,95.88563458856348,5000.0,0.35,479428.1729428174,167799.86052998606,34,0,1750.0,CM,Marketing,1
1,CM.Outbound,0.03,95.88563458856348,7000.0,0.15,671199.4421199444,100679.91631799165,14,0,1050.0,CM,Outbound,1
1,CM.Partner,0.03,95.88563458856348,8000.0,0.2,767085.0767085078,153417.01534170157,19,0,1600.0,CM,Partner,1
1,EOR.Marketing,0.4,1278.4751278475132,7500.0,0.52,9588563.45885635,4986052.998605303,665,0,3900.0,EOR,Marketing,1
1,EOR.Outbound,0.09,287.6569037656904,12500.0,0.24,3595711.29707113,862970.7112970712,69,0,3000.0,EOR,Outbound,1
1,EOR.Partner,0.32999999999999974,1054.7419804741974,11250.0,0.27999999999999997,11865847.28033472,3322437.2384937215,295,0,3149.9999999999995,EOR,Partner,1
1,Payroll.Marketing,0.03,95.88563458856348,12000.0,0.25,1150627.6150627618,287656.90376569045,24,0,3000.0,Payroll,Marketing,1
1,Payroll.Outbound,0.03,95.88563458856348,15000.0,0.1,1438284.518828452,143828.45188284523,10,0,1500.0,Payroll,Outbound,1
1,Payroll.Partner,0.03,95.88563458856348,20000.0,0.15,1917712.6917712695,287656.9037656904,14,0,3000.0,Payroll,Partner,1
2,CM.Marketing,0.03,113.26672862453535,5000.0,0.35,566333.6431226768,198216.77509293685,40,0,1750.0,CM,Marketing,2
2,CM.Outbound,0.03,113.26672862453535,7000.0,0.15,792867.1003717474,118930.0650557621,17,0,1050.0,CM,Outbound,2
2,CM.Partner,0.03,113.26672862453535,8000.0,0.2,906133.8289962828,181226.76579925657,23,0,1600.0,CM,Partner,2
2,EOR.Marketing,0.4,1510.223048327138,7500.0,0.52,11326672.862453535,5889869.888475838,785,0,3900.0,EOR,Marketing,2
