month,target_revenue,hc_tenured,hc_ramping,hc_total,mentoring_tax,shrinkage_rate,effective_capacity_saos,total_required_saos,total_pipeline,total_bookings,capacity_gap,bookings_vs_target,cumulative_target,cumulative_bookings,cumulative_gap
1,10312500.0,99.16666666666667,0.0,99.16666666666667,0.012605042016806721,0.16,3692.2500000000005,3196.1878196187818,31474459.55369595,10312500.0,496.0621803812187,0.0,10312500.0,10312500.0,0.0
2,12187500.0,98.34027777777779,16.666666666666664,115.00694444444446,0.016947955652849376,0.16,4272.262500000001,3775.557620817844,37132609.2007435,12187500.0,496.7048791821567,0.0,22500000.0,22500000.0,0.0
3,13125000.000000002,97.52077546296297,41.666666666666664,139.18744212962963,0.004272593862062868,0.16,5242.5353125,4064.096609382258,39919588.94565723,13125000.000000002,1178.438703117742,0.0,35625000.0,35625000.0,0.0
4,17812500.0,96.70810233410495,50.0,146.70810233410495,0.0025850988072985415,0.16,5534.316268229168,5510.440835266822,53988544.083526686,17812500.000000004,23.875432962345258,3.725290298461914e-09,53437500.0,53437500.0,0.0
5,14062500.0,95.90220148132074,53.333333333333336,149.23553481465407,0.000868940775562535,0.16,5637.353215993924,4354.389224338133,42770988.156061314,14062500.000000002,1282.9639916557908,1.862645149230957e-09,67500000.0,67500000.0,0.0
6,15000000.0,95.1030164689764,55.0,150.10301646897642,0.0031544740759917238,0.16,5660.394022527308,4642.525533890437,45543175.48746519,15000000.000000002,1017.868488636871,1.862645149230957e-09,82500000.0,82500000.0,0.0
7,17812500.0,94.31049133173494,59.0,153.31049133173494,0.0010603274205014197,0.16,5790.636572339581,5510.440835266822,53988544.083526686,17812500.000000004,280.1957370727587,3.725290298461914e-09,100312500.0,100312500.0,0.0
8,14625000.0,93.52457057063715,61.0,154.52457057063714,0.0,0.16,5841.028767570084,4524.297620647937,44383359.65855626,14627203.669329248,1316.7311469221468,2203.6693292483687,114937500.0,114939703.66932926,2203.6693292558193
9,15937500.000000002,92.74519914921518,61.0,153.74519914921518,0.0,0.16,5811.568527840334,4932.68337975859,48389623.95543176,15937500.000000002,878.8851480817448,0.0,130875000.0,130877203.66932926,2203.6693292558193
10,19687500.0,91.97232248963839,61.0,152.97232248963837,0.0,0.16,5782.353790108331,5782.353790108329,57751258.47870693,18309823.276378024,1.8189894035458565e-12,-1377676.7236219756,150562500.0,149187026.9457073,-1375473.0542927086
11,19125000.0,91.2058864688914,61.0,152.2058864688914,0.0,0.16,5753.382508524095,5753.382508524093,54856336.23518692,16354550.581537485,1.8189894035458565e-12,-2770449.418462515,169687500.0,165541577.52724478,-4145922.4727552235
12,17812500.0,90.44583741498398,61.0,151.445837414984,0.0,0.16,5724.652654286395,5724.652654286394,66549087.106079325,11815683.078447117,9.094947017729282e-13,-5996816.921552883,187500000.0,177357260.60569188,-10142739.39430812
