version_id,total_bookings,total_pipeline,total_saos,total_ae_hc,productivity_per_ae,bookings_vs_v1_pct,saos_vs_v1_pct,hc_vs_v1_pct
v014,177.4,576.7,57771,154,375.14,0.0,0.0,0.0
v015,177.4,576.7,57771,154,375.14,0.0,0.0,0.0
