sao_month,booking_month,segment_key,product,delay_months,probability,sao_bookings,realized_bookings,in_window
1,1,CM.Marketing,CM,0,0.4,167799.86052998612,67119.94421199446,True
1,2,CM.Marketing,CM,1,0.35,167799.86052998612,58729.95118549514,True
1,3,CM.Marketing,CM,2,0.15,167799.86052998612,25169.979079497916,True
1,4,CM.Marketing,CM,3,0.1,167799.86052998612,16779.986052998614,True
1,1,CM.Outbound,CM,0,0.4,100679.91631799166,40271.966527196666,True
1,2,CM.Outbound,CM,1,0.35,100679.91631799166,35237.97071129708,True
1,3,CM.Outbound,CM,2,0.15,100679.91631799166,15101.98744769875,True
1,4,CM.Outbound,CM,3,0.1,100679.91631799166,10067.991631799166,True
1,1,CM.Partner,CM,0,0.4,153417.01534170163,61366.80613668065,True
1,2,CM.Partner,CM,1,0.35,153417.01534170163,53695.95536959557,True
1,3,CM.Partner,CM,2,0.15,153417.01534170163,23012.552301255244,True
1,4,CM.Partner,CM,3,0.1,153417.01534170163,15341.701534170163,True
1,1,EOR.Marketing,EOR,0,0.1,4986052.9986053035,498605.29986053036,True
1,2,EOR.Marketing,EOR,1,0.3,4986052.9986053035,1495815.899581591,True
1,3,EOR.Marketing,EOR,2,0.4,4986052.9986053035,1994421.1994421214,True
1,4,EOR.Marketing,EOR,3,0.2,4986052.9986053035,997210.5997210607,True
1,1,EOR.Outbound,EOR,0,0.1,862970.7112970715,86297.07112970715,True
1,2,EOR.Outbound,EOR,1,0.3,862970.7112970715,258891.21338912146,True
1,3,EOR.Outbound,EOR,2,0.4,862970.7112970715,345188.2845188286,True
1,4,EOR.Outbound,EOR,3,0.2,862970.7112970715,172594.1422594143,True
1,1,EOR.Partner,EOR,0,0.1,3322437.238493723,332243.7238493723,True
1,2,EOR.Partner,EOR,1,0.3,3322437.238493723,996731.1715481168,True
1,3,EOR.Partner,EOR,2,0.4,3322437.238493723,1328974.8953974892,True
1,4,EOR.Partner,EOR,3,0.2,3322437.238493723,664487.4476987446,True
1,1,Payroll.Marketing,Payroll,0,0.5,287656.9037656905,143828.45188284526,True
1,2,Payroll.Marketing,Payroll,1,0.3,287656.9037656905,86297.07112970715,True
1,3,Payroll.Marketing,Payroll,2,0.2,287656.9037656905,57531.3807531381,True
1,1,Payroll.Outbound,Payroll,0,0.5,143828.45188284526,71914.22594142263,True
1,2,Payroll.Outbound,Payroll,1,0.3,143828.45188284526,43148.53556485358,True
1,3,Payroll.Outbound,Payroll,2,0.2,143828.45188284526,28765.69037656905,True
1,1,Payroll.Partner,Payroll,0,0.5,287656.9037656905,143828.45188284526,True
1,2,Payroll.Partner,Payroll,1,0.3,287656.9037656905,86297.07112970715,True
1,3,Payroll.Partner,Payroll,2,0.2,287656.9037656905,57531.3807531381,True
2,2,CM.Marketing,CM,0,0.4,198216.7750929369,79286.71003717477,True
2,3,CM.Marketing,CM,1,0.35,198216.7750929369,69375.8712825279,True
2,4,CM.Marketing,CM,2,0.15,198216.7750929369,29732.516263940535,True
2,5,CM.Marketing,CM,3,0.1,198216.7750929369,19821.67750929369,True
2,2,CM.Outbound,CM,0,0.4,118930.06505576214,47572.02602230486,True
2,3,CM.Outbound,CM,1,0.35,118930.06505576214,41625.52276951675,True
2,4,CM.Outbound,CM,2,0.15,118930.06505576214,17839.509758364322,True
2,5,CM.Outbound,CM,3,0.1,118930.06505576214,11893.006505576215,True
2,2,CM.Partner,CM,0,0.4,181226.76579925662,72490.70631970266,True
2,3,CM.Partner,CM,1,0.35,181226.76579925662,63429.36802973982,True
2,4,CM.Partner,CM,2,0.15,181226.76579925662,27184.01486988849,True
2,5,CM.Partner,CM,3,0.1,181226.76579925662,18122.676579925665,True
2,2,EOR.Marketing,EOR,0,0.1,5889869.88847584,588986.988847584,True
2,3,EOR.Marketing,EOR,1,0.3,5889869.88847584,1766960.966542752,True
2,4,EOR.Marketing,EOR,2,0.4,5889869.88847584,2355947.955390336,True
2,5,EOR.Marketing,EOR,3,0.2,5889869.88847584,1177973.977695168,True
2,2,EOR.Outbound,EOR,0,0.1,906133.828996283,90613.38289962831,True
2,3,EOR.Outbound,EOR,1,0.3,906133.828996283,271840.1486988849,True
2,4,EOR.Outbound,EOR,2,0.4,906133.828996283,362453.53159851325,True
2,5,EOR.Outbound,EOR,3,0.2,906133.828996283,181226.76579925662,True
