month,target_revenue,hc_tenured,hc_ramping,hc_total,mentoring_tax,shrinkage_rate,effective_capacity_saos,total_required_saos,total_pipeline,total_bookings,capacity_gap,bookings_vs_target,cumulative_target,cumulative_bookings,cumulative_gap
1,10340000.0,83.9375,0.0,83.9375,0.017870439314966492,0.1775,2363.85078125,2363.85078125,24338248.135851886,8457625.276612036,0.0,-1882374.723387964,10340000.0,8457625.276612036,-1882374.723387964
2,12220000.0,82.88828125,5.0,87.88828125,0.012064431605040673,0.1775,2495.083896484375,2495.083896484375,25572700.155583654,8812935.438450888,0.0,-3407064.561549112,22560000.0,17270560.715062924,-5289439.284937076
3,13160000.000000002,81.852177734375,10.0,91.852177734375,0.0061085729645775555,0.1775,2626.6945665283206,2626.6945665283206,26630027.358875856,9075037.22997295,0.0,-4084962.7700270526,35720000.0,26345597.945035875,-9374402.054964125
4,17860000.0,80.82902551269532,15.0,95.82902551269532,0.012371793345979855,0.195,2664.9827938201906,2664.98279382019,27315708.034889698,9195363.044335203,4.547473508864641e-13,-8664636.955664797,53580000.0,35540960.989371076,-18039039.010628924
5,14100000.0,79.81866269378664,18.333333333333332,98.15199602711996,0.008352265550028595,0.195,2742.0991547307717,2742.0991547307713,27773086.298737362,9407328.608584514,4.547473508864641e-13,-4692671.391415486,67680000.0,44948289.59795559,-22731710.402044408
6,15040000.0,78.8209294101143,21.666666666666664,100.48759607678096,0.004228995215204352,0.195,2819.5713527966373,2819.5713527966373,28556778.598824885,9629457.939205052,0.0,-5410542.060794948,82720000.0,54577747.53716064,-28142252.462839358
7,17860000.0,77.83566779248787,25.0,102.83566779248787,0.019271370600931224,0.21250000000000002,2781.908093530447,2781.9080935304464,28447877.44227193,9523191.257957447,4.547473508864641e-13,-8336808.742042553,100580000.0,64100938.79511809,-36479061.20488191
8,14664000.0,76.86272194508177,30.0,106.86272194508177,0.013010208000628676,0.21250000000000002,2910.4037736113164,2910.4037736113164,29357559.265739538,9859688.806712614,0.0,-4804311.193287386,115244000.0,73960627.6018307,-41283372.398169294
9,15980000.000000002,75.90193792076825,35.0,110.90193792076825,0.006587447088925912,0.21250000000000002,3039.234663941175,3039.234663941175,30937610.26889436,10232534.576173538,0.0,-5747465.4238264635,131224000.0,84193162.17800425,-47030837.82199575
10,19740000.0,74.95316369675865,40.0,114.95316369675865,0.014675831489252663,0.23,3059.487761627646,3059.4877616276453,31116192.747246493,10278088.385130208,4.547473508864641e-13,-9461911.614869792,150964000.0,94471250.56313446,-56492749.43686554
11,19176000.0,74.01624915054917,43.666666666666664,117.68291581721584,0.009907734338735975,0.23,3145.8879146073004,3145.8879146073004,31941273.374019135,10506433.672447745,0.0,-8669566.327552255,170140000.0,104977684.2355822,-65162315.7644178
12,17860000.0,73.09104603616731,47.333333333333336,120.42437936950066,0.005016574348727076,0.23,3232.603690674709,3232.603690674709,32766810.879434135,10732486.89038349,0.0,-7127513.109616511,188000000.0,115710171.12596568,-72289828.87403432
