month,hc_tenured,hc_ramping,hc_total,mentoring_tax,shrinkage_rate,effective_capacity_saos,capacity_flag
1,83.9375,0.0,83.9375,0.017870439314966492,0.1775,2363.85078125,False
2,82.88828125,5.0,87.88828125,0.012064431605040673,0.1775,2495.083896484375,False
3,81.852177734375,10.0,91.852177734375,0.0061085729645775555,0.1775,2626.6945665283206,False
4,80.82902551269532,15.0,95.82902551269532,0.012371793345979855,0.195,2664.9827938201906,False
5,79.81866269378664,18.333333333333332,98.15199602711996,0.008352265550028595,0.195,2742.0991547307717,False
6,78.8209294101143,21.666666666666664,100.48759607678096,0.004228995215204352,0.195,2819.5713527966373,False
7,77.83566779248787,25.0,102.83566779248787,0.019271370600931224,0.21250000000000002,2781.908093530447,False
8,76.86272194508177,30.0,106.86272194508177,0.013010208000628676,0.21250000000000002,2910.4037736113164,False
9,75.90193792076825,35.0,110.90193792076825,0.006587447088925912,0.21250000000000002,3039.234663941175,False
10,74.95316369675865,40.0,114.95316369675865,0.014675831489252663,0.23,3059.487761627646,False
11,74.01624915054917,43.666666666666664,117.68291581721584,0.009907734338735975,0.23,3145.8879146073004,False
12,73.09104603616731,47.333333333333336,120.42437936950066,0.005016574348727076,0.23,3232.603690674709,False
